
482, 28	cb,ff	Gen_Key2VolEnvDecay
483, 33	a,0	Gen_CoarseTune
484, 29	b2,0	Gen_Instrument
485, 2b	44,44	Gen_KeyRange
486, 2c	65,7f	Gen_VelRange
487, 22	db,e0	Gen_VolEnvAttack
488, 28	cb,ff	Gen_Key2VolEnvDecay
489, 33	4,0	Gen_CoarseTune
490, 29	b2,0	Gen_Instrument
491, 2b	44,44	Gen_KeyRange
492, 2c	42,64	Gen_VelRange
493,  8	ce,f9	Gen_FilterFc
494, 22	db,e0	Gen_VolEnvAttack
495, 28	cb,ff	Gen_Key2VolEnvDecay
496, 33	4,0	Gen_CoarseTune
497, 29	b2,0	Gen_Instrument
498, 2b	44,44	Gen_KeyRange
499, 2c	0,41	Gen_VelRange
500,  8	1e,f5	Gen_FilterFc
501, 22	db,e0	Gen_VolEnvAttack
502, 28	cb,ff	Gen_Key2VolEnvDecay
503, 33	4,0	Gen_CoarseTune
504, 29	b2,0	Gen_Instrument
505, 2b	4c,4c	Gen_KeyRange
506, 2c	66,7f	Gen_VelRange
507, 34	32,0	Gen_FineTune
508, 29	35,1	Gen_Instrument
509, 2b	4c,4c	Gen_KeyRange
510, 2c	56,65	Gen_VelRange
511,  8	dc,f7	Gen_FilterFc
512, 34	32,0	Gen_FineTune
513, 29	35,1	Gen_Instrument
514, 2b	4c,4c	Gen_KeyRange
515, 2c	47,55	Gen_VelRange
516,  8	6e,f0	Gen_FilterFc
517, 34	32,0	Gen_FineTune
518, 29	35,1	Gen_Instrument
519, 2b	4c,4c	Gen_KeyRange
520, 2c	0,46	Gen_VelRange
521,  8	6e,f0	Gen_FilterFc
522,  b	34,fe	Gen_ModEnv2FilterFc
523, 34	32,0	Gen_FineTune
524, 29	35,1	Gen_Instrument
525, 2b	4c,4c	Gen_KeyRange
526, 2c	0,65	Gen_VelRange
527,  8	50,fb	Gen_FilterFc
528, 30	96,0	Gen_Attenuation
529, 34	32,0	Gen_FineTune
530, 29	aa,0	Gen_Instrument
531, 2b	4c,4c	Gen_KeyRange
532, 2c	66,72	Gen_VelRange
